VEOLMS API SQL / PAYLOAD CHECK
Generated: 2026-09-21T18:28:15.591Z
One safe GET request was sent to each documented GET operation.
This is a diagnostic check, not a load test.

STATUS KEY
NO_N_PLUS_ONE_SIGN = one or zero SQL round-trips observed; not proof of perfect SQL.
MULTI_QUERY_REVIEW = several SQL statements; this is not automatically N+1 and needs scale testing.
EXPLAIN_REQUIRED = slow SQL was observed; run EXPLAIN before adding an index.
PAYLOAD_HEAVY = response over 100 KB; check pagination and returned fields.

ENDPOINT RESULTS
listCourses | GET /api/v1/courses | HTTP=200 | total=85ms | SQL=1 | SQL max=55ms | bytes=94624 | multi-query=NO_N_PLUS_ONE_SIGN | index=NOT_CHECKED | payload=PAYLOAD_CHECK
getCourseOverview | GET /api/v1/courses/{idOrSlug}/overview | HTTP=200 | total=82ms | SQL=9 | SQL max=16ms | bytes=1163 | multi-query=MULTI_QUERY_REVIEW | index=NOT_CHECKED | payload=PAYLOAD_OK
listUserAccessGrants | GET /api/v1/access/users/{userId}/grants | HTTP=401 | total=66ms | SQL=0 | SQL max=0ms | bytes=102 | multi-query=NOT_MEASURED_AUTH | index=NOT_CHECKED | payload=PAYLOAD_OK
getSidenav | GET /api/v1/navigation/sidenav | HTTP=200 | total=31ms | SQL=2 | SQL max=6ms | bytes=2142 | multi-query=MULTI_QUERY_REVIEW | index=NOT_CHECKED | payload=PAYLOAD_OK
listCreatorCourses | GET /api/v1/courses/creator/{creatorId} | HTTP=200 | total=29ms | SQL=2 | SQL max=55ms | bytes=2501 | multi-query=MULTI_QUERY_REVIEW | index=NOT_CHECKED | payload=PAYLOAD_OK
getQuizAnalytics | GET /api/v1/quiz-assignments/{assignmentId}/analytics | HTTP=401 | total=23ms | SQL=0 | SQL max=0ms | bytes=102 | multi-query=NOT_MEASURED_AUTH | index=NOT_CHECKED | payload=PAYLOAD_OK
GET /api/v1/media/{mediaId}/variants/{width} | GET /api/v1/media/{mediaId}/variants/{width} | HTTP=404 | total=22ms | SQL=1 | SQL max=6ms | bytes=104 | multi-query=NO_N_PLUS_ONE_SIGN | index=NOT_CHECKED | payload=PAYLOAD_OK
getBundleBySlug | GET /api/v1/bundles/{slug} | HTTP=404 | total=21ms | SQL=2 | SQL max=5ms | bytes=164 | multi-query=MULTI_QUERY_REVIEW | index=NOT_CHECKED | payload=PAYLOAD_OK
listCourseIncludes | GET /api/v1/courses/{id}/includes | HTTP=200 | total=21ms | SQL=1 | SQL max=4ms | bytes=53 | multi-query=NO_N_PLUS_ONE_SIGN | index=NOT_CHECKED | payload=PAYLOAD_OK
getCourseBySlug | GET /api/v1/courses/{slug} | HTTP=200 | total=21ms | SQL=1 | SQL max=4ms | bytes=535 | multi-query=NO_N_PLUS_ONE_SIGN | index=NOT_CHECKED | payload=PAYLOAD_OK
listPublishedBundles | GET /api/v1/bundles | HTTP=200 | total=21ms | SQL=1 | SQL max=4ms | bytes=43 | multi-query=NO_N_PLUS_ONE_SIGN | index=NOT_CHECKED | payload=PAYLOAD_OK
